,job_title,min_salary,max_salary,experience_required,skills_required,job_specializations,career_level,qualification,job_type,date_posted,city,province,region
2991,Analyst II Pricing,,,1.0,"Power BI, SAS, Microsoft Excel","Accounting/Finance, General/Cost Accounting",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2992,Data Visualization Analyst focusing on PowerBI (Hybrid-Rotating Shift),70000.0,115000.0,3.0,Power BI,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
2993,Business Operations Manager,,,8.0,,"Services, Logistics/Supply Chain",Assistant Manager/Manager,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
2994,Business Analyst,,,6.0,,"Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,manila city,metro manila,national capital region
2995,Front Office Manager,,,5.0,Microsoft Excel,"Hotel/Restaurant, Hotel/Tourism",Supervisor/5 Years & Up Experienced Employee,bachelor's/college degree,Full-Time,2023-07-14,,,central luzon
2996,Digital Marketing Officer,,,4.0,Google Analytics,"Sales/Marketing, Digital Marketing",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,,cavite,calabarzon
2997,IT Business Analyst,25000.0,30000.0,1.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,bachelor's/college degree,Full-Time,2023-07-14,quezon city,metro manila,national capital region
2998,Excel / Data Analyst,15000.0,20000.0,1.0,Python,"Accounting/Finance, Banking/Financial",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,mandaluyong city,metro manila,national capital region
2999,Global Workforce Management Director | NIGHT Shift | Hybrid | Pasay |Direct Hire,,,10.0,"Power BI, Microsoft Excel, Microsoft Excel","Admin/Human Resources, Top Management",Not Specified,vocational diploma/short course certificate,Full-Time,2023-07-14,pasay city,metro manila,national capital region
3000,Data Verification Analyst (Voice | Nightshift),,,,,"Computer/Information Technology, IT-Software",Less than 1 Year Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,taguig city,metro manila,national capital region
3001,Systems Administrator (Intermediate) l Onsite,,,2.0,"Python, Microsoft Excel, SQL","Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,quezon city,metro manila,national capital region
3002,DATA CENTER OPERATOR,16000.0,18000.0,1.0,,"Services, Tech & Helpdesk Support",Less than 1 Year Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-14,mandaluyong city,metro manila,national capital region
3003,Warranty Claims Professional,,,1.0,"Power BI, Microsoft Excel","Accounting/Finance, Banking/Financial",Less than 1 Year Experienced Employee,bachelor's/college degree,Full-Time,2023-07-14,santa rosa city,laguna,calabarzon
3004,BACK OFFICE - MASS HIRING: Data Management & Processing *Makati - Start ASAP!,17000.0,21000.0,,,,Less than 1 Year Experienced Employee,vocational diploma/short course certificate,,2023-07-14,makati city,metro manila,national capital region
3005,Client Service Associate (Largest Social Media Account),26000.0,32000.0,1.0,,"Services, Customer Service",1-4 Years Experienced Employee,post graduate diploma/master's degree,Full-Time,2023-07-14,pasig city,metro manila,national capital region
